Word-Embedding,TreeNumber,Extrapolator,Results,,Real Category,Possible Subcategory,Other Spelling,Plural,On Path,Other Relative,Other
pubmed-cbow.txt,C04.557.337,ArithmeticVectorStreamPredictor,Closest Index for 0: 201 distance: 0.035090584884381215,Suggestion 0: leukemia,0,3,1,2,0,1,2
C,Diseases,,Closest Index for 1: 3077 distance: 0.2656298003628872,Suggestion 1: leukaemia,,,,,,,
C04,Neoplasms,,Closest Index for 2: 5305 distance: 0.4009768450123372,Suggestion 2: leukemias,,,,,,,
C04.557,Neoplasms by Histologic Type,,Closest Index for 3: 16680 distance: 0.41644375270618317,Suggestion 3: leukaemias,,,,,,,
C04.557.337,Leukemia,,Closest Index for 4: 2250 distance: 0.46612026035479015,Suggestion 4: leukemic,Adjective of leukemia. There is a plethora of concepts such as leukemic cells or leukemic progression. Each would make sense as sub-category. Sources: doi:  10.1371/journal.pone.0027042 and doi:  10.1186/s12967-015-0543-8,,,,,,
,,,Closest Index for 5: 36663 distance: 0.4761596064886525,Suggestion 5: monoblastic,Type of Leukemia. Source: doi:  10.4142/jvs.2008.9.1.109,,,,,,
,,,Closest Index for 6: 96472 distance: 0.48496432107927034,Suggestion 6: neurohypophysitis,,,,,,,
,,,Closest Index for 7: 19844 distance: 0.48651045387081193,Suggestion 7: erythroleukemia,Type of Leukemia. Source: doi:  10.1038/leu.2009.181,,,,,,
,,,Closest Index for 8: 34595 distance: 0.5192919400636746,Suggestion 8: choriomeningitis,,,,,,,
,,,Closest Index for 9: 202 distance: 0.5212069364572943,Suggestion 9: lymphoma,,,,,,,
pubmed-skip-gram.txt,C04.557.337,ArithmeticVectorStreamPredictor,losest Index for 0: 201 distance: 0.028729245784095414,Suggestion 0: leukemia,6,2,1,0,0,0,0
C,Diseases,,Closest Index for 1: 516 distance: 0.21340247313051952,Suggestion 1: myeloid,,,,,,,
C04,Neoplasms,,Closest Index for 2: 1051 distance: 0.21986183591039576,Suggestion 2: lymphoblastic,,,,,,,
C04.557,Neoplasms by Histologic Type,,Closest Index for 3: 2080 distance: 0.2224320504635633,Suggestion 3: myelogenous,,,,,,,
C04.557.337,Leukemia,,Closest Index for 4: 3077 distance: 0.23930218885466592,Suggestion 4: leukaemia,,,,,,,
,,,Closest Index for 5: 3576 distance: 0.2644267478128133,Suggestion 5: promyelocytic,,,,,,,
,,,Closest Index for 6: 1404 distance: 0.29897490439688645,Suggestion 6: lymphocytic,Type of Leukemia. Source: doi:  10.1016/j.bbamcr.2015.07.009,,,,,,
,,,Closest Index for 7: 15110 distance: 0.31911833002661794,Suggestion 7: prolymphocytic,,,,,,,
,,,Closest Index for 8: 13879 distance: 0.3227143906883685,Suggestion 8: megakaryoblastic,,,,,,,
,,,Closest Index for 9: 2250 distance: 0.32339648637581997,Suggestion 9: leukemic,Adjective of leukemia. There is a plethora of concepts such as leukemic cells or leukemic progression. Each would make sense as sub-category. Sources: doi:  10.1371/journal.pone.0027042 and doi:  10.1186/s12967-015-0543-8,,,,,,
pubmed-cbow.txt,C04.557.337,RegressionVectorStreamPredictor,Closest Index for 0: 201 distance: 0.13521800264073414,Suggestion 0: leukemia,0,5,1,2,0,0,1
C,Diseases,,Closest Index for 1: 3077 distance: 0.3728902018119157,Suggestion 1: leukaemia,,,,,,,
