Word-Embedding,TreeNumber,Extrapolator,Results,,Real Category,Possible Subcategory,Other Spelling,Plural,On Path,Other Relative,Other
pubmed-cbow.txt,C04.557.465.625.650.510,ArithmeticVectorStreamPredictor,Closest Index for 0: 241 distance: 0.013143610745934398,Suggestion 0: melanoma,2,2,0,1,0,3,1
C,Diseases,,Closest Index for 1: 2536 distance: 0.4078253024038445,Suggestion 1: melanomas,,,,,,,
C04,Neoplasms,,Closest Index for 2: 3416 distance: 0.41326659453126424,Suggestion 2: uveal,Uveal melanoma is the most common primary malignant tumor of the eye in adults. Source:d oi: 10.4103/0301-4738.154367.,,,,,,
C04.557,Neoplasms by Histologic Type,,Closest Index for 3: 9815 distance: 0.4207311714426494,Suggestion 3: amelanotic,Real MeSH Subcategory: Melanoma; Amelanotic,,,,,,
C04.557.465,Neoplasms; Germ Cell and Embryonal,,Closest Index for 4: 1774 distance: 0.44269579075588106,Suggestion 4: mesothelioma,,,,,,,
C04.557.465.625,Neuroectodermal Tumors,,Closest Index for 5: 1276 distance: 0.45639862515744545,Suggestion 5: neuroblastoma,,,,,,,
C04.557.465.625.650,Neuroendocrine Tumors,,Closest Index for 6: 27306 distance: 0.45977558943179186,Suggestion 6: uvea,The anatomical part uveal melanoma occur in. ,,,,,,
C04.557.465.625.650.510,Melanoma,,Closest Index for 7: 73921 distance: 0.4668897035906765,Suggestion 7: unpigmented,English for amelanotic; which is a real subcategory. We consider as a real subcategory. Source: https://medical-dictionary.thefreedictionary.com/amelanotic (accessed July 2; 2018),,,,,,
,,,Closest Index for 8: 11940 distance: 0.48346051765296383,Suggestion 8: melanosis,Malign pigmentation; a.k.a. freckles. No Melanoma. MeSH Category: C17.800.621.430.530,,,,,,
,,,Closest Index for 9: 509 distance: 0.4870689230449444,Suggestion 9: glioma,,,,,,,
pubmed-cbow.txt,C04.557.580.625.650.510,ArithmeticVectorStreamPredictor,Closest Index for 0: 241 distance: 0.013143610745934398,Suggestion 0: melanoma,2,2,0,1,0,3,1
C,Diseases,,Closest Index for 1: 2536 distance: 0.4078253024038445,Suggestion 1: melanomas,,,,,,,
C04,Neoplasms,,Closest Index for 2: 3416 distance: 0.41326659453126424,Suggestion 2: uveal,Uveal melanoma is the most common primary malignant tumor of the eye in adults. Source:d oi: 10.4103/0301-4738.154367.,,,,,,
C04.557,Neoplasms by Histologic Type,,Closest Index for 3: 9815 distance: 0.4207311714426494,Suggestion 3: amelanotic,Real MeSH Subcategory: Melanoma; Amelanotic,,,,,,
C04.557.580,Neoplasms; Nerve Tissue,,Closest Index for 4: 1774 distance: 0.44269579075588106,Suggestion 4: mesothelioma,,,,,,,
C04.557.580.625,Neuroectodermal Tumors,,Closest Index for 5: 1276 distance: 0.45639862515744545,Suggestion 5: neuroblastoma,,,,,,,
C04.557.580.625.650,Neuroendocrine Tumors,,Closest Index for 6: 27306 distance: 0.45977558943179186,Suggestion 6: uvea,The anatomical part uveal melanoma occur in. ,,,,,,
