Word-Embedding,TreeNumber,Extrapolator,Results,,Real Category,Possible Subcategory,Other Spelling,Plural,On Path,Other Relative,Other
pubmed-cbow.txt,C04.557.465.625.650.510,ArithmeticVectorStreamPredictor,Closest Index for 0: 5 distance: 0.016188192552739955,Suggestion 0: melanoma,0,1,0,1,0,6,1
C,Diseases,,Closest Index for 1: 3139 distance: 0.5075041066257426,Suggestion 1: mesothelioma,,,,,,,
C04,Neoplasms,,Closest Index for 2: 1410 distance: 0.5128044492556569,Suggestion 2: glioma,,,,,,,
C04.557,Neoplasms by Histologic Type,,Closest Index for 3: 104 distance: 0.52167009875256,Suggestion 3: melanomas,,,,,,,
C04.557.465,Neoplasms; Germ Cell and Embryonal,,Closest Index for 4: 2212 distance: 0.5616512036714678,Suggestion 4: osteosarcoma,,,,,,,
C04.557.465.625,Neuroectodermal Tumors,,Closest Index for 5: 4227 distance: 0.5626717860859771,Suggestion 5: effusion,,,,,,,
C04.557.465.625.650,Neuroendocrine Tumors,,Closest Index for 6: 5357 distance: 0.5838723838561619,Suggestion 6: liposarcoma,,,,,,,
C04.557.465.625.650.510,Melanoma,,Closest Index for 7: 6410 distance: 0.5842677589090839,Suggestion 7: omm,OMM (Oral mucosal melanoma) is a king of melanoma. Source: doi: 10.1016/j.gene.2018.06.064,,,,,,
,,,Closest Index for 8: 6323 distance: 0.5875178530146135,Suggestion 8: plasmacytoma,,,,,,,
,,,Closest Index for 9: 17591 distance: 0.5899850911967867,Suggestion 9: insulinoma,,,,,,,
pubmed-cbow.txt,C04.557.580.625.650.510,ArithmeticVectorStreamPredictor,Closest Index for 0: 5 distance: 0.016188192552739955,Suggestion 0: melanoma,0,1,0,1,0,6,1
C,Diseases,,Closest Index for 1: 3139 distance: 0.5075041066257426,Suggestion 1: mesothelioma,,,,,,,
C04,Neoplasms,,Closest Index for 2: 1410 distance: 0.5128044492556569,Suggestion 2: glioma,,,,,,,
C04.557,Neoplasms by Histologic Type,,Closest Index for 3: 104 distance: 0.52167009875256,Suggestion 3: melanomas,,,,,,,
C04.557.580,Neoplasms; Nerve Tissue,,Closest Index for 4: 2212 distance: 0.5616512036714678,Suggestion 4: osteosarcoma,,,,,,,
C04.557.580.625,Neuroectodermal Tumors,,Closest Index for 5: 4227 distance: 0.5626717860859771,Suggestion 5: effusion,,,,,,,
C04.557.580.625.650,Neuroendocrine Tumors,,Closest Index for 6: 5357 distance: 0.5838723838561619,Suggestion 6: liposarcoma,,,,,,,
C04.557.580.625.650.510,Melanoma,,Closest Index for 7: 6410 distance: 0.5842677589090839,Suggestion 7: omm,OMM (Oral mucosal melanoma) is a king of melanoma. Source: doi: 10.1016/j.gene.2018.06.064,,,,,,
,,,Closest Index for 8: 6323 distance: 0.5875178530146135,Suggestion 8: plasmacytoma,,,,,,,
,,,Closest Index for 9: 17591 distance: 0.5899850911967867,Suggestion 9: insulinoma,,,,,,,
pubmed-cbow.txt,C04.557.665.510,ArithmeticVectorStreamPredictor,Closest Index for 0: 5 distance: 0.03241644109621511,Suggestion 0: melanoma,1,2,0,1,0,4,1
C,Diseases,,Closest Index for 1: 1410 distance: 0.5242414933850548,Suggestion 1: glioma,,,,,,,
C04,Neoplasms,,Closest Index for 2: 3139 distance: 0.5268117191351758,Suggestion 2: mesothelioma,,,,,,,
C04.557,Neoplasms by Histologic Type,,Closest Index for 3: 104 distance: 0.527506728680892,Suggestion 3: melanomas,,,,,,,
C04.557.665,Nevi and Melanomas,,Closest Index for 4: 2212 distance: 0.568847819795417,Suggestion 4: osteosarcoma,,,,,,,
C04.557.665.510,Melanoma,,Closest Index for 5: 4227 distance: 0.5796222396499889,Suggestion 5: effusion,,,,,,,
,,,Closest Index for 6: 6410 distance: 0.5852201938642663,Suggestion 6: omm,OMM (Oral mucosal melanoma) is a king of melanoma. Source: doi: 10.1016/j.gene.2018.06.064,,,,,,
,,,Closest Index for 7: 927 distance: 0.5928811766468914,Suggestion 7: amelanotic,Real MeSH Subcategory: Melanoma; Amelanotic,,,,,,
,,,Closest Index for 8: 5357 distance: 0.5949021137509684,Suggestion 8: liposarcoma,,,,,,,
,,,Closest Index for 9: 1458 distance: 0.597101038322964,Suggestion 9: cmm,CMM (cutaneous malignant melanoma) is a highly aggressive skin cancer with rapidly increasing incidence worldwide. Source: doi:10.1097/MD.0000000000001327,,,,,,
pubmed-skip-gram.txt,C04.557.465.625.650.510,ArithmeticVectorStreamPredictor,Closest Index for 0: 5 distance: 0.022148725894855392,Suggestion 0: melanoma,1,0,0,1,0,1,6
C,Diseases,,Closest Index for 1: 927 distance: 0.4328321880686814,Suggestion 1: amelanotic,Real MeSH Subcategory: Melanoma; Amelanotic,,,,,,
C04,Neoplasms,,Closest Index for 2: 12297 distance: 0.44837642525730204,Suggestion 2: mathematics,,,,,,,
C04.557,Neoplasms by Histologic Type,,Closest Index for 3: 39123 distance: 0.47404355773701456,Suggestion 3: isografts,,,,,,,
C04.557.465,Neoplasms; Germ Cell and Embryonal,,Closest Index for 4: 24034 distance: 0.474494986171199,Suggestion 4: l5178,,,,,,,
C04.557.465.625,Neuroectodermal Tumors,,Closest Index for 5: 49120 distance: 0.4750894630412421,Suggestion 5: mesonephroma,,,,,,,
C04.557.465.625.650,Neuroendocrine Tumors,,Closest Index for 6: 37196 distance: 0.47841766201650304,Suggestion 6: lactosylceramides,,,,,,,
C04.557.465.625.650.510,Melanoma,,Closest Index for 7: 20675 distance: 0.4823446044792453,Suggestion 7: mannans,,,,,,,
,,,Closest Index for 8: 104 distance: 0.49118686033076486,Suggestion 8: melanomas,,,,,,,
,,,Closest Index for 9: 29420 distance: 0.4918908725578188,Suggestion 9: methyltyrosines,,,,,,,
pubmed-skip-gram.txt,C04.557.580.625.650.510,ArithmeticVectorStreamPredictor,Closest Index for 0: 5 distance: 0.022148725894855392,Suggestion 0: melanoma,1,0,0,1,0,1,6
C,Diseases,,Closest Index for 1: 927 distance: 0.4328321880686814,Suggestion 1: amelanotic,Real MeSH Subcategory: Melanoma; Amelanotic,,,,,,
C04,Neoplasms,,Closest Index for 2: 12297 distance: 0.44837642525730204,Suggestion 2: mathematics,,,,,,,
C04.557,Neoplasms by Histologic Type,,Closest Index for 3: 39123 distance: 0.47404355773701456,Suggestion 3: isografts,,,,,,,
C04.557.580,Neoplasms; Nerve Tissue,,Closest Index for 4: 24034 distance: 0.474494986171199,Suggestion 4: l5178,,,,,,,
C04.557.580.625,Neuroectodermal Tumors,,Closest Index for 5: 49120 distance: 0.4750894630412421,Suggestion 5: mesonephroma,,,,,,,
C04.557.580.625.650,Neuroendocrine Tumors,,Closest Index for 6: 37196 distance: 0.47841766201650304,Suggestion 6: lactosylceramides,,,,,,,
C04.557.580.625.650.510,Melanoma,,Closest Index for 7: 20675 distance: 0.4823446044792453,Suggestion 7: mannans,,,,,,,
,,,Closest Index for 8: 104 distance: 0.49118686033076486,Suggestion 8: melanomas,,,,,,,
,,,Closest Index for 9: 29420 distance: 0.4918908725578188,Suggestion 9: methyltyrosines,,,,,,,
pubmed-skip-gram.txt,C04.557.665.510,ArithmeticVectorStreamPredictor,Closest Index for 0: 5 distance: 0.044876311586105055,Suggestion 0: melanoma,1,1,0,1,0,1,5
C,Diseases,,Closest Index for 1: 927 distance: 0.44974695329844394,Suggestion 1: amelanotic,Real MeSH Subcategory: Melanoma; Amelanotic,,,,,,
C04,Neoplasms,,Closest Index for 2: 12297 distance: 0.4803773945006843,Suggestion 2: mathematics,,,,,,,
C04.557,Neoplasms by Histologic Type,,Closest Index for 3: 39123 distance: 0.4975445138433159,Suggestion 3: isografts,,,,,,,
C04.557.665,Nevi and Melanomas,,Closest Index for 4: 24034 distance: 0.500841013211311,Suggestion 4: l5178,,,,,,,
C04.557.665.510,Melanoma,,Closest Index for 5: 104 distance: 0.50355035246591,Suggestion 5: melanomas,,,,,,,
,,,Closest Index for 6: 20675 distance: 0.508950428521691,Suggestion 6: mannans,,,,,,,
,,,Closest Index for 7: 37196 distance: 0.5090901417500145,Suggestion 7: lactosylceramides,,,,,,,
,,,Closest Index for 8: 49120 distance: 0.5149223891075816,Suggestion 8: mesonephroma,,,,,,,
,,,Closest Index for 9: 79 distance: 0.5192366173610619,Suggestion 9: metastasis,In later stages; metastasis can be induced by melanoma. This is most commonly brain metastases but can also spread to liver; bones; abdomen or lymph nodes. Albeit Metastasis is a MeSH Category; our algorithm didn't know that. Therefore a category for common melanoma metastasis is reasonable. Source: https://en.wikipedia.org/wiki/Melanoma (accessed July 2; 2018),,,,,,
pubmed-cbow.txt,C04.557.465.625.650.510,RegressionVectorStreamPredictor,Closest Index for 0: 5 distance: 0.29025707117289623,Suggestion 0: melanoma,0,0,0,1,3,5,0
C,Diseases,,Closest Index for 1: 75 distance: 0.3712751504984755,Suggestion 1: tumors,"Neoplasms are cancerous cells and therefore tumors. Albeit this was not in the label that was analyzed; ""tumors"" is an alternative label for MeSH Category C04",,,,,,
C04,Neoplasms,,Closest Index for 2: 104 distance: 0.40848749503668014,Suggestion 2: melanomas,,,,,,,
C04.557,Neoplasms by Histologic Type,,Closest Index for 3: 420 distance: 0.44777953294177286,Suggestion 3: tumours,Often occuring other spelling of tumors. Considering it the same as tumors: Part of the Path as it is an alternative label for MeSH Category C04.,,,,,,
C04.557.465,Neoplasms; Germ Cell and Embryonal,,Closest Index for 4: 7330 distance: 0.48580621584097416,Suggestion 4: meningiomas,,,,,,,
C04.557.465.625,Neuroectodermal Tumors,,Closest Index for 5: 2816 distance: 0.4887995821814227,Suggestion 5: neuroendocrine,,,,,,,
C04.557.465.625.650,Neuroendocrine Tumors,,Closest Index for 6: 7701 distance: 0.4893355104688286,Suggestion 6: schwannomas,,,,,,,
C04.557.465.625.650.510,Melanoma,,Closest Index for 7: 6311 distance: 0.49042164415225487,Suggestion 7: medulloblastoma,,,,,,,
,,,Closest Index for 8: 6356 distance: 0.4942497816680984,Suggestion 8: angiosarcoma,,,,,,,
,,,Closest Index for 9: 8552 distance: 0.49583146058192773,Suggestion 9: sarcomatoid,,,,,,,
pubmed-cbow.txt,C04.557.580.625.650.510,RegressionVectorStreamPredictor,Closest Index for 0: 5 distance: 0.28205287736381723,Suggestion 0: melanoma,0,0,0,1,3,5,0
C,Diseases,,Closest Index for 1: 75 distance: 0.3672464751788913,Suggestion 1: tumors,,,,,,,
C04,Neoplasms,,Closest Index for 2: 104 distance: 0.402673933274019,Suggestion 2: melanomas,,,,,,,
C04.557,Neoplasms by Histologic Type,,Closest Index for 3: 420 distance: 0.44034772945053147,Suggestion 3: tumours,,,,,,,
C04.557.580,Neoplasms; Nerve Tissue,,Closest Index for 4: 7330 distance: 0.47184409857906173,Suggestion 4: meningiomas,,,,,,,
C04.557.580.625,Neuroectodermal Tumors,,Closest Index for 5: 7701 distance: 0.4774425659017645,Suggestion 5: schwannomas,,,,,,,
C04.557.580.625.650,Neuroendocrine Tumors,,Closest Index for 6: 6356 distance: 0.4884036720978614,Suggestion 6: angiosarcoma,,,,,,,
C04.557.580.625.650.510,Melanoma,,Closest Index for 7: 2816 distance: 0.4896853372302763,Suggestion 7: neuroendocrine,,,,,,,
