Word-Embedding,TreeNumber,Extrapolator,Results,,Real Category,Possible Subcategory,Other Spelling,Plural,On Path,Other Relative,Other
pubmed-cbow.txt,C04,ArithmeticVectorStreamPredictor,Closest Index for 0: 680 distance: 0.3269059310507024,Suggestion 0: neoplasm,2,2,1,0,0,0,4
,,,Closest Index for 1: 2056 distance: 0.45393838669961717,Suggestion 1: metastasis,Neoplasm Metastasis. MeSH Tree Numbers: C04.687.650 and C23.550.727.650,,,,,,
,,,Closest Index for 2: 3611 distance: 0.5624031775267585,Suggestion 2: distant,Distant metastasis is an existing concept without MeSH entry. Sources: doi: 10.1515/jpem-2018-0075 and https://www.ncbi.nlm.nih.gov/pubmed/?term=distant+metastasis (retrieved June 29\, 2018),,,,,,
,,,Closest Index for 3: 3587 distance: 0.6089549565005404,Suggestion 3: metastases,Other spelling for real category Neoplasm Metastasis. MeSH Tree Numbers: C04.687.650 and C23.550.727.650,,,,,,
,,,Closest Index for 4: 1333 distance: 0.6178154124143693,Suggestion 4: nude,,,,,,,
,,,Closest Index for 5: 2844 distance: 0.6196082307376947,Suggestion 5: metastatic,,,,,,,
,,,Closest Index for 6: 5023 distance: 0.6287565214068869,Suggestion 6: invasiveness,,,,,,,
,,,Closest Index for 7: 1227 distance: 0.6315189277402697,Suggestion 7: tumour,,,,,,,
,,,Closest Index for 8: 11089 distance: 0.636308647702947,Suggestion 8: ct26,Studied type of colon tumor in mice. Used in Research. Source: doi:  10.1186/1471-2164-15-190,,,,,,
,,,Closest Index for 9: 1242 distance: 0.6427954793564292,Suggestion 9: proto,,,,,,,
pubmed-skip-gram.txt,C04,ArithmeticVectorStreamPredictor,Closest Index for 0: 680 distance: 0.23736866678638646,Suggestion 0: neoplasm,2,2,1,0,0,0,4
,,,Closest Index for 1: 2056 distance: 0.2405930474556348,Suggestion 1: metastasis,Neoplasm Metastasis. MeSH Tree Numbers: C04.687.650 and C23.550.727.650,,,,,,
,,,Closest Index for 2: 3587 distance: 0.4674699154127654,Suggestion 2: metastases,Other spelling for real category Neoplasm Metastasis. MeSH Tree Numbers: C04.687.650 and C23.550.727.650,,,,,,
,,,Closest Index for 3: 2844 distance: 0.47172318696626203,Suggestion 3: metastatic,,,,,,,
