Word-Embedding,TreeNumber,Extrapolator,Results,,Real Category,Possible Subcategory,Other Spelling,Plural,On Path,Other Relative,Other
pubmed-cbow.txt,B04.280.382.100.750,Arithmetic,Closest Index for 0: 120 distance: 0.010392467214451973,Suggestion 0: simplexvirus,2,0,0,0,0,4,3
B,Organisms,,Closest Index for 1: 1403 distance: 0.40025993520171854,Suggestion 1: muromegalovirus,,,,,,,
B04,Viruses,,Closest Index for 2: 9925 distance: 0.4035303737688275,Suggestion 2: vesiculovirus,,,,,,,
B04.280,DNA Viruses,,Closest Index for 3: 1899 distance: 0.40613971790956094,Suggestion 3: retroviridae,,,,,,,
B04.280.382,Herpesviridae,,Closest Index for 4: 4691 distance: 0.41479054616543365,Suggestion 4: ribonucleases,,,,,,,
B04.280.382.100,Alphaherpesvirinae,,Closest Index for 5: 3433 distance: 0.4377077740242158,Suggestion 5: varicellovirus,,,,,,,
B04.280.382.100.750,Simplexvirus,,Closest Index for 6: 2113 distance: 0.44742151598146973,Suggestion 6: papillomaviridae,,,,,,,
,,,Closest Index for 7: 3313 distance: 0.45424725002592514,Suggestion 7: reductases,,,,,,,
,,,Closest Index for 8: 3322 distance: 0.4568785323276984,Suggestion 8: indiana,There is a Vesicular stomatitis Indiana virus,,,,,,
,,,Closest Index for 9: 18004 distance: 0.463694986650962,Suggestion 9: spumavirus,,,,,,,
pubmed-skip-gram.txt,B04.280.382.100.750,Arithmetic,Closest Index for 0: 120 distance: 0.011854427705973447,Suggestion 0: simplexvirus,0,0,0,0,0,0,9
B,Organisms,,Closest Index for 1: 15436 distance: 0.31335871663469383,Suggestion 1: peroxidases,,,,,,,
B04,Viruses,,Closest Index for 2: 19595 distance: 0.3197416356537379,Suggestion 2: protamines,,,,,,,
B04.280,DNA Viruses,,Closest Index for 3: 11202 distance: 0.32006038185012775,Suggestion 3: sialoglycoproteins,,,,,,,
B04.280.382,Herpesviridae,,Closest Index for 4: 4691 distance: 0.32369382323305496,Suggestion 4: ribonucleases,,,,,,,
B04.280.382.100,Alphaherpesvirinae,,Closest Index for 5: 11323 distance: 0.3323977287763282,Suggestion 5: thionucleotides,,,,,,,
B04.280.382.100.750,Simplexvirus,,Closest Index for 6: 27428 distance: 0.3345353281003348,Suggestion 6: prealbumin,,,,,,,
,,,Closest Index for 7: 36474 distance: 0.33504892706740597,Suggestion 7: somatomedins,,,,,,,
,,,Closest Index for 8: 11856 distance: 0.335711062627427,Suggestion 8: tetrahydrofolate,,,,,,,
,,,Closest Index for 9: 33413 distance: 0.33634224070063257,Suggestion 9: osmosis,,,,,,,
pubmed-cbow.txt,B04.280.382.100.750,Regression,Closest Index for 0: 120 distance: 0.1803931831219996,Suggestion 0: simplexvirus,2,0,0,0,1,6,0
B,Organisms,,Closest Index for 1: 2522 distance: 0.36144968502749897,Suggestion 1: alphaherpesvirinae,,,,,,,
B04,Viruses,,Closest Index for 2: 3433 distance: 0.3623462650961755,Suggestion 2: varicellovirus,,,,,,,
B04.280,DNA Viruses,,Closest Index for 3: 1403 distance: 0.38931502302339704,Suggestion 3: muromegalovirus,,,,,,,
B04.280.382,Herpesviridae,,Closest Index for 4: 12581 distance: 0.3937409533278188,Suggestion 4: iltovirus,,,,,,,
B04.280.382.100,Alphaherpesvirinae,,Closest Index for 5: 1899 distance: 0.39436995579409295,Suggestion 5: retroviridae,,,,,,,
B04.280.382.100.750,Simplexvirus,,Closest Index for 6: 37804 distance: 0.4012003053477555,Suggestion 6: trematoda,,,,,,,
,,,Closest Index for 7: 9925 distance: 0.4065700043215785,Suggestion 7: vesiculovirus,,,,,,,
,,,Closest Index for 8: 2113 distance: 0.41608707063621275,Suggestion 8: papillomaviridae,,,,,,,
,,,Closest Index for 9: 13939 distance: 0.42174749486869256,Suggestion 9: ictalurivirus,,,,,,,
pubmed-skip-gram.txt,B04.280.382.100.750,Regression,Closest Index for 0: 120 distance: 0.1921650580852169,Suggestion 0: simplexvirus,1,0,0,0,2,2,4
B,Organisms,,Closest Index for 1: 2522 distance: 0.2802138684010129,Suggestion 1: alphaherpesvirinae,,,,,,,
B04,Viruses,,Closest Index for 2: 3433 distance: 0.32293517721377474,Suggestion 2: varicellovirus,,,,,,,
B04.280,DNA Viruses,,Closest Index for 3: 71 distance: 0.3572620546542312,Suggestion 3: herpesviridae,,,,,,,
B04.280.382,Herpesviridae,,Closest Index for 4: 30512 distance: 0.36557029943810604,Suggestion 4: bornaviridae,,,,,,,
B04.280.382.100,Alphaherpesvirinae,,Closest Index for 5: 37804 distance: 0.3685032409033825,Suggestion 5: trematoda,,,,,,,
B04.280.382.100.750,Simplexvirus,,Closest Index for 6: 25544 distance: 0.3803991924852155,Suggestion 6: salmonidae,,,,,,,
,,,Closest Index for 7: 39740 distance: 0.3815854984734275,Suggestion 7: zea,,,,,,,
,,,Closest Index for 8: 17155 distance: 0.3821742612353477,Suggestion 8: marsupialia,,,,,,,
,,,Closest Index for 9: 39741 distance: 0.3838420386139477,Suggestion 9: mays,,,,,,,
