Word-Embedding,TreeNumber,Extrapolator,Results,,Real Category,Possible Subcategory,Other Spelling,Plural,On Path,Other Relative,Other
pubmed-cbow.txt,B04.280.382.100.750,Arithmetic,Closest Index for 0: 32 distance: 0.0036866494720810827,Suggestion 0: simplexvirus,2,0,0,0,0,2,2
B,Organisms,,Closest Index for 1: 3828 distance: 0.3178636485378301,Suggestion 1: respirovirus,,,,,,,
B04,Viruses,,Closest Index for 2: 6170 distance: 0.34698695447766037,Suggestion 2: vesiculovirus,,,,,,,
B04.280,DNA Viruses,,Closest Index for 3: 5591 distance: 0.3487360556299104,Suggestion 3: poxviridae,,,,,,,
B04.280.382,Herpesviridae,,Closest Index for 4: 1715 distance: 0.3584877105405494,Suggestion 4: retroviridae,,,,,,,
B04.280.382.100,Alphaherpesvirinae,,Closest Index for 5: 2751 distance: 0.3654684934789971,Suggestion 5: ribonucleases,,,,,,,
B04.280.382.100.750,Simplexvirus,,Closest Index for 6: 8656 distance: 0.38689203399366867,Suggestion 6: varicellovirus,,,,,,,
,,,Closest Index for 7: 6950 distance: 0.3886648689783734,Suggestion 7: muromegalovirus,,,,,,,
,,,Closest Index for 8: 1829 distance: 0.3939193060624778,Suggestion 8: papillomaviridae,,,,,,,
,,,Closest Index for 9: 682 distance: 0.4210952807926214,Suggestion 9: messenger,,,,,,,
pubmed-skip-gram.txt,B04.280.382.100.750,Arithmetic,Closest Index for 0: 32 distance: 0.008913055671369019,Suggestion 0: simplexvirus,0,1,0,0,0,3,5
B,Organisms,,Closest Index for 1: 15898 distance: 0.2563744222127924,Suggestion 1: sigmodontinae,Family of rat like animals which are affected by the simplexvirus. In MeSH sub-categories of simplexvirus are different organisms affected by the virus. ,,,,,,
B04,Viruses,,Closest Index for 2: 14491 distance: 0.2610136356279511,Suggestion 2: prions,,,,,,,
B04.280,DNA Viruses,,Closest Index for 3: 5591 distance: 0.26169333151133534,Suggestion 3: poxviridae,,,,,,,
B04.280.382,Herpesviridae,,Closest Index for 4: 2751 distance: 0.26680390936640497,Suggestion 4: ribonucleases,,,,,,,
B04.280.382.100,Alphaherpesvirinae,,Closest Index for 5: 1715 distance: 0.2836378799532495,Suggestion 5: retroviridae,,,,,,,
B04.280.382.100.750,Simplexvirus,,Closest Index for 6: 12923 distance: 0.2953793349652445,Suggestion 6: sialoglycoproteins,,,,,,,
,,,Closest Index for 7: 12368 distance: 0.3016213970462853,Suggestion 7: thiocyanates,,,,,,,
,,,Closest Index for 8: 12775 distance: 0.30194298750090953,Suggestion 8: muramidase,,,,,,,
,,,Closest Index for 9: 3828 distance: 0.30420478539211304,Suggestion 9: respirovirus,,,,,,,
pubmed-cbow.txt,B04.280.382.100.750,Regression,Closest Index for 0: 32 distance: 0.09491096876300187,Suggestion 0: simplexvirus,0,0,0,0,1,8,0
B,Organisms,,Closest Index for 1: 5591 distance: 0.24273331628720096,Suggestion 1: poxviridae,,,,,,,
B04,Viruses,,Closest Index for 2: 8656 distance: 0.2837957363643002,Suggestion 2: varicellovirus,Sibling to Simplexvirus within MeSH,,,,,,
B04.280,DNA Viruses,,Closest Index for 3: 3828 distance: 0.28875060511843775,Suggestion 3: respirovirus,,,,,,,
B04.280.382,Herpesviridae,,Closest Index for 4: 6170 distance: 0.3108291303039098,Suggestion 4: vesiculovirus,,,,,,,
B04.280.382.100,Alphaherpesvirinae,,Closest Index for 5: 1715 distance: 0.31965452115651116,Suggestion 5: retroviridae,,,,,,,
B04.280.382.100.750,Simplexvirus,,Closest Index for 6: 6950 distance: 0.32279386825583745,Suggestion 6: muromegalovirus,,,,,,,
,,,Closest Index for 7: 1829 distance: 0.33697000496591645,Suggestion 7: papillomaviridae,,,,,,,
,,,Closest Index for 8: 5331 distance: 0.3478306261597953,Suggestion 8: reoviridae,,,,,,,
,,,Closest Index for 9: 3788 distance: 0.365850220486725,Suggestion 9: alphaherpesvirinae,,,,,,,
pubmed-skip-gram.txt,B04.280.382.100.750,Regression,Closest Index for 0: 32 distance: 0.18559716017060157,Suggestion 0: simplexvirus,0,0,0,0,1,6,2
B,Organisms,,Closest Index for 1: 13939 distance: 0.25024253040087185,Suggestion 1: betaherpesvirinae,,,,,,,
B04,Viruses,,Closest Index for 2: 8656 distance: 0.25127605526076924,Suggestion 2: varicellovirus,,,,,,,
B04.280,DNA Viruses,,Closest Index for 3: 14491 distance: 0.2718266566480262,Suggestion 3: prions,,,,,,,
B04.280.382,Herpesviridae,,Closest Index for 4: 5591 distance: 0.2750848088955756,Suggestion 4: poxviridae,,,,,,,
B04.280.382.100,Alphaherpesvirinae,,Closest Index for 5: 3788 distance: 0.27794193038810666,Suggestion 5: alphaherpesvirinae,,,,,,,
B04.280.382.100.750,Simplexvirus,,Closest Index for 6: 22413 distance: 0.28910350227790726,Suggestion 6: spumavirus,,,,,,,
,,,Closest Index for 7: 17561 distance: 0.29423290282749526,Suggestion 7: deoxyribonucleoproteins,,,,,,,
,,,Closest Index for 8: 15574 distance: 0.29563083044675487,Suggestion 8: fowlpox,,,,,,,
,,,Closest Index for 9: 17579 distance: 0.3029408139836426,Suggestion 9: alpharetrovirus,,,,,,,
